share_rate
model,1,2,3,4,5,6,7,8,9,10
deepseek-v3.2,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gemini-3-flash-preview,1.0,0.4,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gpt-5-mini-2025-08-07,0.4,0.1,0.4,0.5,0.7,0.6,0.7,1.0,1.0,1.0
qwen-plus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rational,0.3,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0

avg_price
model,1,2,3,4,5,6,7,8,9,10
deepseek-v3.2,0.5,0.4,0.30000000000000004,0.237075,0.15622,0.15980000000000003,0.14295714285714284,0.1261875,0.11931111111111109,0.10238
gemini-3-flash-preview,0.499,0.795,0.298,0.28875,0.00474,0.00395,0.17585714285714285,0.15475,0.13694444444444442,0.12600000000000003
gpt-5-mini-2025-08-07,0.499,0.795,0.5796666666666667,0.4525,0.35200000000000004,0.3115,0.43999999999999995,0.0030125000000000004,0.0002332222222222222,0.19177
qwen-plus,0.5,0.795,0.6000000000000001,0.47557499999999997,0.3905,0.33140000000000003,0.2872142857142857,0.2535625,0.22824444444444447,0.20616000000000004
rational,0.5,0.5547950686867551,0.6299609534767533,0.6687402762143707,0.698827744273689,0.7230211101001905,0.7429974710404722,0.7598364355807592,0.7742622144370545,0.7867939286660706

consumer_surplus
model,1,2,3,4,5,6,7,8,9,10
deepseek-v3.2,1.5216003912817382,2.597719322281568,3.9986515043125386,5.432700772695106,6.7461233273807775,7.006172660274685,7.291893586955358,7.696512469772969,7.784212469772969,7.905112469772969
gemini-3-flash-preview,1.4776151069084902,-0.03075611117578947,3.8578441928050893,4.911000772695104,8.194223327380778,8.468172660274684,6.990893586955359,7.417312469772968,7.580312469772968,7.695312469772969
gpt-5-mini-2025-08-07,1.7111785116025442,0.1518092693953079,1.6463426166922517,2.2161767495931493,3.71301683117548,4.727011519924203,3.7128103748634014,8.837412469772968,8.862966469772969,7.049912469772968
qwen-plus,1.4706151069084903,-0.5048839060925433,1.2405815137904974,3.15162425000177,4.437065409792601,5.577820294309649,6.214778894496041,6.8317977773136525,7.134697777313652,7.381597777313652
rational,1.7905532245058877,1.2890704176663181,0.20498735644598765,1.3236390010891546,2.4336884164653148,1.362367993315862,1.2159188765506364,1.2669481139653767,1.122690325402424,0.997373183112263

firm_profit
model,1,2,3,4,5,6,7,8,9,10
deepseek-v3.2,3.5,3.6,2.9000000000000004,2.5333,1.4936,1.5192,1.354,1.1688,1.0811,0.9602
gemini-3-flash-preview,3.4930000000000003,2.39,2.9770000000000003,3.055,0.0455,0.037200000000000004,1.655,1.448,1.265,1.17
gpt-5-mini-2025-08-07,3.4930000000000003,1.6,3.838,3.48,3.08,2.449,3.6,0.0279,0.002346,1.8154000000000001
qwen-plus,3.5,3.97,4.4,4.0136,3.6425,2.6392,2.2144,1.7968,1.4939,1.267
rational,3.5,4.993155618180796,1.88988286043026,6.018662485929337,11.181243908379024,6.507189990901715,7.429974710404722,7.5983643558075915,7.742622144370545,7.867939286660706

social_welfare
model,1,2,3,4,5,6,7,8,9,10
deepseek-v3.2,5.021600391281738,6.197719322281568,6.898651504312539,7.966000772695105,8.239723327380778,8.525372660274686,8.645893586955358,8.86531246977297,8.865312469772968,8.865312469772968
gemini-3-flash-preview,4.9706151069084905,2.359243888824211,6.83484419280509,7.966000772695104,8.239723327380778,8.505372660274684,8.645893586955358,8.865312469772968,8.845312469772969,8.86531246977297
gpt-5-mini-2025-08-07,5.204178511602544,1.751809269395308,5.484342616692252,5.69617674959315,6.79301683117548,7.176011519924203,7.3128103748634015,8.865312469772968,8.865312469772968,8.865312469772968
qwen-plus,4.9706151069084905,3.465116093907457,5.640581513790497,7.165224250001771,8.0795654097926,8.217020294309648,8.42917889449604,8.628597777313653,8.62859777731365,8.648597777313652
rational,5.290553224505888,6.282226035847114,2.094870216876248,7.342301487018491,13.61493232484434,7.869557984217577,8.645893586955358,8.865312469772968,8.865312469772968,8.865312469772968

avg_search_cost
model,1,2,3,4,5,6,7,8,9,10
deepseek-v3.2,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemini-3-flash-preview,0.0,0.016,0.01,0.0,0.0,0.002,0.0,0.0,0.002,0.0
gpt-5-mini-2025-08-07,0.0,0.006,0.004,0.002,0.002,0.0,0.002,0.0,0.0,0.0
qwen-plus,0.0,0.016,0.019999999999999997,0.019999999999999997,0.008,0.012,0.008,0.01,0.01,0.008
rational,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
