Rank,Model,B-Cons.Acc,C-Profit,C-Loss%,D-Profit,D-Loss%,D-Cons.Acc,Overall
1,qwen3-max-2026-01-23,100.00%,1.577,-20.3%,2.346,-78.9%,100.00%,1.0
2,gpt-5.1,95.00%,1.733,-32.1%,1.858,-41.7%,95.00%,0.98
3,gpt-5.2,95.00%,1.706,-30.1%,1.680,-28.1%,75.00%,0.9400000000000001
4,deepseek-v3.2,90.00%,1.607,-22.6%,1.177,10.3%,10.00%,0.7692379148599999
5,gpt-5.1-2025-11-13,90.00%,1.714,-30.7%,0.561,57.2%,45.00%,0.6982926022799999
6,deepseek-v3.1,95.00%,1.607,-22.6%,0.000,100.0%,95.00%,0.6799999999999999
7,deepseek-r1,100.00%,1.714,-30.7%,0.000,100.0%,75.00%,0.65
8,deepseek-v3-0324,95.00%,1.607,-22.6%,0.000,100.0%,65.00%,0.62
9,qwen3-max,95.00%,1.172,10.6%,0.000,100.0%,45.00%,0.54815631784
10,gpt-5,95.00%,1.858,-41.6%,-0.239,118.2%,20.00%,0.4752751757
11,qwen-plus-2025-12-01,95.00%,0.592,54.9%,0.000,100.0%,35.00%,0.39541377875
12,qwen-plus,95.00%,0.592,54.9%,0.000,100.0%,30.00%,0.38541377875
