Config,Intermediary,Consumers,m,Anonymization,Participation Rate,Social Welfare,Consumer Surplus,Producer Profit,Intermediary Profit,Intermediary Profit Loss (%),Individual Accuracy,TP,TN,FP,FN,Consumer Surplus Gap,Gini Consumer Surplus,场景,模型,数据结构
A (Theory),Rational,Rational,0.7000000000000001,identified,0.06538230128851415,210.25077967436255,76.55102813585835,131.18265041936823,1.6071011191359812,0.0,,,,,,,,C,gpt-4.1-mini,common_preferences
B,Rational,LLM,0.7000000000000001,identified,0.25,217.82475058392154,66.26426587791366,152.5433835868719,-0.9828988808640191,161.15974092485547,0.8,1.0,15.0,4.0,0.0,-10.286762257944687,0.04157094806066142,C,gpt-4.1-mini,common_preferences
C,LLM,Rational,0.6000000000000001,identified,0.03424390602811047,209.4440290893279,76.55102813585835,131.18265041936823,1.3113505341013418,18.402736549249774,,,,,,,,C,gpt-4.1-mini,common_preferences
D,LLM,LLM,0.65,anonymized,0.1,213.1559713947654,71.40247865395204,139.45034181638982,2.303150924423532,-43.310890459821536,0.85,0.0,17.0,2.0,1.0,-5.148549481906329,0.019960509283162953,C,gpt-4.1-mini,common_preferences
A (Theory),Rational,Rational,0.0,anonymized,0.0011384444225298138,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,,,,,,,,C,gpt-4.1-mini,common_experience
B,Rational,LLM,0.0,anonymized,0.0,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.3105620612861688,C,gpt-4.1-mini,common_experience
C,LLM,Rational,0.10000000000000003,anonymized,0.0033823885885025246,185.75678959366743,66.20165095266691,119.55513864100053,-0.006500000000000002,747.9992684610224,,,,,,,,C,gpt-4.1-mini,common_experience
D,LLM,LLM,0.2,anonymized,0.0,185.75678959366743,66.20165095266691,119.55513864100053,0.0,100.0,0.95,0.0,19.0,0.0,1.0,0.0,0.3105620612861688,C,gpt-4.1-mini,common_experience
A (Theory),Rational,Rational,0.7000000000000001,identified,0.06538230128851415,210.25077967436255,76.55102813585835,131.18265041936823,1.6071011191359812,0.0,,,,,,,,C,deepseek-v3,common_preferences
B,Rational,LLM,0.7000000000000001,identified,0.0,210.25077967436255,76.55102813585835,131.18265041936823,2.5171011191359813,-56.62369275738166,0.95,0.0,19.0,0.0,1.0,0.0,0.017643694111231012,C,deepseek-v3,common_preferences
C,LLM,Rational,0.7,anonymized,0.06538230128851415,209.77733499057302,76.55102813585837,131.18265041936823,1.1721564353464062,27.06392762786528,,,,,,,,C,deepseek-v3,common_preferences
D,LLM,LLM,1.1,identified,0.1,218.65204843229063,59.37560725421443,158.23830524048321,1.038135937592986,35.4031973948774,0.5,2.0,8.0,0.0,10.0,-25.225489709214997,0.041426484275410846,C,deepseek-v3,common_preferences
A (Theory),Rational,Rational,0.0,anonymized,0.0011384444225298138,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,,,,,,,,C,deepseek-v3,common_experience
B,Rational,LLM,0.0,anonymized,0.0,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.3105620612861688,C,deepseek-v3,common_experience
C,LLM,Rational,0.40000000000000013,anonymized,0.027356685856414254,185.75678959366743,66.20165095266691,119.55513864100053,-0.23200000000000007,23228.589274301103,,,,,,,,C,deepseek-v3,common_experience
D,LLM,LLM,0.9,anonymized,0.05,167.620707112701,62.84428951326064,105.67641759944037,-0.9,89822.97563306459,0.65,1.0,12.0,0.0,7.0,-10.6862471000453,0.3359895119840888,C,deepseek-v3,common_experience
A (Theory),Rational,Rational,0.7000000000000001,identified,0.06538230128851415,210.25077967436255,76.55102813585835,131.18265041936823,1.6071011191359812,0.0,,,,,,,,C,grok-4-fast,common_preferences
B,Rational,LLM,0.7000000000000001,identified,0.0,210.25077967436255,76.55102813585835,131.18265041936823,2.5171011191359813,-56.62369275738166,0.95,0.0,19.0,0.0,1.0,0.0,0.017643694111231012,C,grok-4-fast,common_preferences
C,LLM,Rational,0.65,anonymized,0.04907142478741731,209.34942120246458,76.55102813585837,131.18265041936823,0.959242647237968,40.31224072859326,,,,,,,,C,grok-4-fast,common_preferences
D,LLM,LLM,1.2,anonymized,0.0,207.73367855522662,76.55102813585837,131.18265041936823,0.0,100.0,0.35,0.0,7.0,0.0,13.0,-14.984333178639844,0.017643694111231234,C,grok-4-fast,common_preferences
A (Theory),Rational,Rational,0.0,anonymized,0.0011384444225298138,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,,,,,,,,C,grok-4-fast,common_experience
B,Rational,LLM,0.0,anonymized,0.0,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.3105620612861688,C,grok-4-fast,common_experience
C,LLM,Rational,0.0,identified,0.00395761879851182,185.7567895936674,66.2016509526669,119.55513864100053,0.0,100.0,,,,,,,,C,grok-4-fast,common_experience
D,LLM,LLM,0.6,anonymized,0.05,167.620707112701,62.544289513260644,105.67641759944037,-0.6,59915.31708870973,0.9,0.0,18.0,1.0,1.0,-3.657361439406266,0.3332436496172886,C,grok-4-fast,common_experience
